Correlation id,Operation name,Status,Event category,Level,Time,Subscription,Event initiated by,Resource type,Resource group,Resource
983b6abd-30f9-4928-a82a-21cfa5f350f5,Create or update metric alert,Succeeded,Administrative,Informational,2026-09-06T17:29:26.306Z,b070ca52-29e9-46f5-b769-27456300bfc9,projectmhapy@gmail.com,microsoft.insights/metricAlerts,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/microsoft.insights/metricAlerts/Faktlens-web01-CPU-alert
983b6abd-30f9-4928-a82a-21cfa5f350f5,Create or update metric alert,Started,Administrative,Informational,2026-09-06T17:29:19.477Z,b070ca52-29e9-46f5-b769-27456300bfc9,projectmhapy@gmail.com,microsoft.insights/metricAlerts,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/microsoft.insights/metricAlerts/Faktlens-web01-CPU-alert
0d09815a-f0ef-46b8-b494-72bf28882845,Create or update action group,Succeeded,Administrative,Informational,2026-09-06T17:29:18.501Z,b070ca52-29e9-46f5-b769-27456300bfc9,projectmhapy@gmail.com,microsoft.insights/actiongroups,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/microsoft.insights/actiongroups/Faktlens-metric
0d09815a-f0ef-46b8-b494-72bf28882845,Create or update action group,Started,Administrative,Informational,2026-09-06T17:29:16.751Z,b070ca52-29e9-46f5-b769-27456300bfc9,projectmhapy@gmail.com,microsoft.insights/actiongroups,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/microsoft.insights/actiongroups/Faktlens-metric
198fe054-b026-401c-ab93-e6fca08334ca,Validate Deployment,Succeeded,Administrative,Informational,2026-09-06T16:45:33.051Z,b070ca52-29e9-46f5-b769-27456300bfc9,faktlens.IT.administrators@projectmhapygmail.onmicrosoft.com,Microsoft.Resources/deployments,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/Microsoft.Resources/deployments/faktlensstorage02_1788713129372
198fe054-b026-401c-ab93-e6fca08334ca,Validate Deployment,Started,Administrative,Informational,2026-09-06T16:45:30.442Z,b070ca52-29e9-46f5-b769-27456300bfc9,faktlens.IT.administrators@projectmhapygmail.onmicrosoft.com,Microsoft.Resources/deployments,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/Microsoft.Resources/deployments/faktlensstorage02_1788713129372
dd54d68a-39d9-4b92-b8d3-ad060a577776,Validate Deployment,Succeeded,Administrative,Informational,2026-09-06T16:45:32.254Z,b070ca52-29e9-46f5-b769-27456300bfc9,faktlens.IT.administrators@projectmhapygmail.onmicrosoft.com,Microsoft.Resources/deployments,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/Microsoft.Resources/deployments/faktlensstorage01_1788713112316
dd54d68a-39d9-4b92-b8d3-ad060a577776,Validate Deployment,Started,Administrative,Informational,2026-09-06T16:45:30.426Z,b070ca52-29e9-46f5-b769-27456300bfc9,faktlens.IT.administrators@projectmhapygmail.onmicrosoft.com,Microsoft.Resources/deployments,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/Microsoft.Resources/deployments/faktlensstorage01_1788713112316
71d15972-89da-4c3c-ac59-580e6df3fbbb,Create role assignment,Succeeded,Administrative,Informational,2026-09-06T16:20:27.632Z,b070ca52-29e9-46f5-b769-27456300bfc9,projectmhapy@gmail.com,Microsoft.Authorization/roleAssignments,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/Microsoft.Authorization/roleAssignments/a0190e01-0507-4739-878e-774c058c2f09
71d15972-89da-4c3c-ac59-580e6df3fbbb,Create role assignment,Started,Administrative,Informational,2026-09-06T16:20:24.835Z,b070ca52-29e9-46f5-b769-27456300bfc9,projectmhapy@gmail.com,Microsoft.Authorization/roleAssignments,Faktlens-Cloud-RG,/subscriptions/b070ca52-29e9-46f5-b769-27456300bfc9/resourceGroups/Faktlens-Cloud-RG/providers/Microsoft.Authorization/roleAssignments/a0190e01-0507-4739-878e-774c058c2f09
